,f1_score,err_coordinate,weighted_average
count,72.0,55.0,55.0
mean,0.038762503317892535,1.7833074425961846,1.3662819009445628
std,0.03686634849705089,0.5954387641500618,0.3020579704510241
min,0.0,0.7454492144002348,0.8667005108145752
25%,0.01120681670834491,1.4081979475111295,1.179049066805685
50%,0.032609658839167034,1.7824638728559838,1.3626376437669157
75%,0.057986747497532784,2.0912780631114103,1.528279850150625
max,0.14864864864864866,3.473110997362451,2.225917200808885
