,f1_score,err_coordinate,weighted_average
count,72.0,54.0,54.0
mean,0.03814497300510315,1.755711964921294,1.352426000457245
std,0.03523822989256374,0.6286444102642242,0.3168809228618028
min,0.0,0.700139938440286,0.8404081334713507
25%,0.008064516129032258,1.26793907838091,1.117450580937958
50%,0.033247375207220486,1.748259793562176,1.3441485214836804
75%,0.058783391405342625,2.106140688262718,1.5325564339021915
max,0.1348314606741573,3.473110997362451,2.225917200808885
