,f1_score,err_coordinate,weighted_average
count,288.0,288.0,288.0
mean,0.6593474422105657,0.5914095981336346,0.4660310779615345
std,0.039490900969814474,0.09312245318911265,0.054575177667595884
min,0.5188284518828451,0.44219381860730766,0.3750694262077715
25%,0.6355435293267319,0.524666242048447,0.4308919131040603
50%,0.6617643137150324,0.5677630340188979,0.4538412247424877
75%,0.6851359970841495,0.6383209316694,0.48755284708552404
max,0.757085020242915,0.8919962474178759,0.670351780186786
