,f1_score,err_coordinate,weighted_average
count,72.0,58.0,58.0
mean,0.03777431820956332,1.7651298205289152,1.359118781720591
std,0.03329586533874961,0.5965879487105185,0.29979787987225814
min,0.0,0.700139938440286,0.8404081334713507
25%,0.014954666076957099,1.3364165504459096,1.1540334940076213
50%,0.03343889716840537,1.748259793562176,1.3441485214836804
75%,0.051364764267990075,2.054410703572753,1.5153744464013694
max,0.1477272727272727,3.473110997362451,2.225917200808885
