,f1_score,err_coordinate,weighted_average
count,72.0,59.0,59.0
mean,0.03905425318113639,1.6922802959771222,1.322310434183122
std,0.03453686799260606,0.6197980697937573,0.3129469938923136
min,0.0,0.700139938440286,0.8404081334713507
25%,0.014954666076957099,1.2455230358749738,1.1094070871198363
50%,0.033247375207220486,1.5944437966803353,1.2691777612938373
75%,0.05155054369714056,1.9256894924519012,1.4421514689150263
max,0.14864864864864866,3.473110997362451,2.225917200808885
