"","POSITION_X","POSITION_Y"
"1",11.914,30.574
"2",4.557,21.487
"3",15.695,50.692
"4",16.129,41.794
"5",2.755,60.366
"6",17.638,52.639
"7",37.529,26.042
"8",9.743,72.473
"9",10.849,59.659
"10",38.234,26.054
"11",14.273,49.257
"12",37.637,31.934
"13",34.818,34.622
"14",37.254,36.818
"15",26.729,38.036
"16",40.494,37.135
"17",21.899,45.796
"18",21.451,41.708
"19",24.177,51.163
"20",22.759,45.755
"21",35.537,51.828
"22",23.141,51.642
"23",48.975,1.623
"24",33.525,55.782
"25",49.303,5.535
"26",50.555,4.073
"27",54.265,11.015
"28",55.122,6.986
"29",50.771,14.916
"30",48.457,11.767
"31",56.468,10.102
"32",58.347,17.299
"33",60.271,20.249
"34",55.709,17.953
"35",56.9,23.601
"36",60.541,21.569
"37",54.024,24.409
"38",57.913,23.644
"39",75.154,0.724
"40",52.521,32.74
"41",72.475,19.999
"42",63.17,9.616
"43",66.748,26.589
"44",61.752,21.26
"45",70.563,24.753
"46",60.18,35.109
"47",66.048,27.109
"48",69.961,26.517
"49",68.588,29.49
"50",68.976,27.081
"51",74.24,81.76
"52",69.288,29.135
