"","POSITION_X","POSITION_Y"
"1",6.308,44.648
"2",9.249,44.711
"3",14.978,42.93
"4",5.056,43.084
"5",9.853,55.709
"6",10.612,56.521
"7",13.555,57.889
"8",10.934,61.067
"9",20.291,62.19
"10",16.184,63.489
"11",16.563,66.374
"12",15.63,68.76
"13",9.82,70.199
"14",10.379,70.684
"15",12.165,74.108
"16",0.81,76.192
"17",12.435,76.656
"18",12.471,77.444
"19",14.473,80.548
"20",5.12,81.76
"21",7.019,43.64
"22",14.437,43.698
"23",8.765,78.703
"24",17.214,80.046
"25",35.032,18.147
"26",32.611,24.908
"27",26.604,32.869
"28",29.899,34.953
"29",22.405,35.68
"30",30.853,35.812
"31",33.192,36.336
"32",31.14,37.59
"33",33.008,37.836
"34",32.221,38.313
"35",25.239,39.93
"36",28.426,41.587
"37",29.253,41.525
"38",25.542,46.139
"39",28.387,51.095
"40",32.054,51.409
"41",34.639,46.902
"42",26.727,47.209
"43",34.106,49.286
"44",27.615,49.616
"45",28.393,51.798
"46",36.348,52.349
"47",32.39,56.056
"48",36.34,57.045
"49",33.904,58.297
"50",30.692,59.61
"51",36.446,55.029
"52",22.842,55.873
"53",31.623,59.641
"54",21.559,61.618
"55",21.75,62.69
"56",34.827,66.654
"57",32.679,67.436
"58",33.85,70.905
"59",23.36,71.153
"60",35.094,73.656
"61",22.913,74.073
"62",34.315,74.666
"63",33.036,75.337
"64",37.982,78.803
"65",24.744,81.18
"66",23.68,81.76
"67",29.92,81.76
"68",37.28,81.76
"69",38.24,81.76
"70",40.16,81.76
"71",27.27,80.71
"72",25.469,80.744
"73",52.834,7.48
"74",46.054,9.548
"75",50.799,20.767
"76",51.965,30.615
"77",42.25,31.727
"78",45.703,31.881
"79",57.484,32.195
"80",56.995,33.082
"81",44.6,11.599
"82",44.222,14.96
"83",60.021,34.692
"84",54.427,36.217
"85",58.038,38.546
"86",47.786,39.779
"87",43.95,41.024
"88",43.07,41.095
"89",46.305,40.083
"90",45.14,40.808
"91",45.024,47.632
"92",43.455,50.998
"93",42.755,51.469
"94",56.028,51.557
"95",43.111,52.321
"96",42.948,52.991
"97",42.14,41.912
"98",49.84,47.441
"99",45.04,53.675
"100",47.163,54.901
"101",53.588,55.718
"102",43.613,56.333
"103",52.356,58.367
"104",57.77,61.77
"105",57.119,63.433
"106",58.282,65.669
"107",57.232,67.606
"108",43.87,71.486
"109",44.512,62.333
"110",57.137,62.58
"111",45.24,71.528
"112",49.051,72.846
"113",60.677,74.006
"114",50.525,74.249
"115",50.35,75.036
"116",43.786,76.046
"117",48.399,78.216
"118",47.125,78.551
"119",43.207,81.022
"120",41.444,81.194
"121",42.24,81.76
"122",45.28,81.76
"123",71.013,2.063
"124",69.317,4.899
"125",76.202,11.888
"126",81.76,18.88
"127",62.936,5.669
"128",79.563,9.83
"129",67.541,20.093
"130",67.696,21.131
"131",75.424,24.854
"132",70.274,28.536
"133",70.764,30.462
"134",64.632,30.572
"135",71.599,31.47
"136",74.629,31.718
"137",73.014,32.04
"138",67.835,33.618
"139",74.579,38.952
"140",81.76,45.12
"141",81.76,47.04
"142",77.516,47.569
"143",81.76,48.48
"144",71.169,49.391
"145",81.76,49.6
"146",75.314,51.698
"147",64.997,61.345
"148",62.259,63.384
"149",30.498,25.256
"150",21.436,32.615
"151",19.987,14.022
"152",12.45,26.156
"153",4.719,26.439
"154",19.078,26.321
"155",13.1,36.972
"156",14.438,37.273
"157",16.04,38.549
"158",15.905,39.624
"159",0.729,39.824
"160",1.826,39.912
"161",15.136,37.406
"162",7.472,38.399
"163",14.254,39.866
"164",12.307,42.292
