"","POSITION_X","POSITION_Y"
"1",80.412,33.711
"2",65.413,33.881
"3",63.557,35.221
"4",70.524,36.509
"5",71.812,36.583
"6",74.379,37.265
"7",79.497,38.045
"8",75.147,38.211
"9",70.872,39.123
"10",66.182,40.63
"11",75.982,41.334
"12",69.246,41.74
"13",75.05,41.801
"14",67.462,42.102
"15",61.928,42.893
"16",75.033,43.166
"17",67.343,43.294
"18",65.948,43.618
"19",61.608,43.878
"20",75.512,43.765
"21",67.205,44.783
"22",74.209,44.852
"23",65.359,45.839
"24",72.835,46.265
"25",65.569,46.539
"26",70.521,47.353
"27",72.889,47.55
"28",71.916,48.883
"29",64.935,48.931
"30",65.803,50.104
"31",70.271,50.429
"32",76.832,50.625
"33",68.207,51.036
"34",67.366,51.484
"35",71.117,51.622
"36",78.378,53.032
"37",65.277,55.703
"38",64.768,56.631
"39",75.893,56.988
"40",71.606,57.495
"41",64.532,57.797
"42",77.7,57.793
"43",71.993,58.517
"44",76.466,58.998
"45",61.464,60.865
"46",67.624,61.46
"47",70.312,62.003
"48",62.997,66.062
"49",66.441,66.565
"50",69.213,67.376
"51",71.056,69.184
"52",61.391,72.368
"53",63.462,72.367
"54",74.124,72.342
"55",67.655,73.327
"56",65.929,74.129
"57",72.478,77.294
"58",68.083,77.93
"59",69.44,80.012
"60",65.397,80.305
"61",67.52,81.76
"62",18.56,0
"63",4.916,1.422
"64",2.281,4.924
"65",6.371,4.916
"66",8.461,9.435
"67",0.636,10.533
"68",3.496,12.016
"69",14.757,12.911
"70",14.5,11.18
"71",6.767,11.459
"72",0.83,13.2
"73",14.297,20.098
"74",6.509,20.472
"75",12.013,21.178
"76",17.437,65.397
"77",12.201,67.361
"78",15.727,22.755
"79",18.214,61.54
"80",5.839,75.766
"81",7.033,79.337
"82",13.072,68.248
"83",19.144,74.4
"84",13.352,80.727
"85",25.659,0.501
"86",36.468,0.771
"87",39.91,0.815
"88",20.931,1.256
"89",24.089,2.437
"90",25.953,2.965
"91",40.199,3.004
"92",21.322,3.392
"93",24.799,4.283
"94",25.362,15.63
"95",26.296,17.012
"96",13.744,5.257
"97",7.474,7.731
"98",23.415,4.524
"99",33.396,15.31
"100",22.161,19.999
"101",40.455,22.496
"102",27.495,25.222
"103",22.562,29.304
"104",39.431,33.466
"105",23.959,35.491
"106",32.497,36.695
"107",28.571,37.753
"108",33.804,38.252
"109",31.372,39.624
"110",31.856,40.967
"111",33.345,41.192
"112",8.393,7.75
"113",13.9,8.395
"114",24.363,44.298
"115",27.843,45.085
"116",25.699,42.157
"117",40.287,43.65
"118",40.182,46.19
"119",31.764,46.585
"120",25.926,49.908
"121",39.958,52.393
"122",34.582,58.332
"123",40.818,58.979
"124",37.44,61.802
"125",20.5,63.638
"126",23.901,65.519
"127",28.958,65.958
"128",30.175,67.156
"129",24.565,68.612
"130",32.237,71.813
"131",29.365,73.583
"132",28.457,74.249
"133",35.521,74.598
"134",24.955,77.446
"135",33.49,77.417
"136",30.556,75.302
"137",25.809,75.918
"138",26.034,76.597
"139",32.391,76.882
"140",25.53,78.008
"141",28.606,78.417
"142",34.481,77.536
"143",36.018,77.968
"144",26.652,78.722
"145",31.911,78.811
"146",27.363,17.071
"147",37.682,19.472
"148",27.492,79.212
"149",27.807,79.351
"150",58.742,16.264
"151",61.02,16.568
"152",41.558,17.946
"153",49.914,22.521
"154",48.115,17.133
"155",42.73,17.693
"156",60.17,23.712
"157",58.273,26.095
"158",33.492,79.925
"159",57.891,15.678
"160",58.362,26.621
"161",42.05,26.653
"162",56.322,27.445
"163",47.432,30.355
"164",53.474,31.349
"165",56.096,31.74
"166",47.829,31.914
"167",52.059,32.116
"168",51.336,33.003
"169",44.682,33.12
"170",57.603,32.2
"171",52.534,32.571
"172",46.073,33.689
"173",47.847,33.754
"174",56.12,34.296
"175",44.148,34.815
"176",50.711,35.062
"177",47.005,35.762
"178",55.76,36.214
"179",45.958,36.913
"180",46.798,37.624
"181",55.958,37.564
"182",47.525,36.947
"183",54.172,36.955
"184",41.893,41.913
"185",55.155,42.081
"186",53.896,37.942
"187",55.169,39.024
"188",58.125,42.405
"189",52.148,43.971
"190",46.416,46.648
"191",53.345,50.737
"192",45.742,51.018
"193",41.844,52.679
"194",44.005,52.625
"195",42.99,53.73
"196",51.661,54.468
"197",55.77,55.779
"198",58.952,55.855
"199",44.767,57.954
"200",45.779,58.115
"201",47.764,59.713
"202",46.665,64.065
"203",48.77,64.014
"204",53.077,64.537
"205",47.34,66.302
"206",49.033,62.203
"207",59.628,63.047
"208",40.949,66.387
"209",46.372,66.495
"210",57.053,68.176
"211",56.341,69.095
"212",59.319,70.926
"213",59.147,71.617
"214",59.823,76.95
"215",58.693,78.161
"216",74.408,0.424
"217",75.267,0.708
"218",63.678,11.792
"219",63.863,14.222
"220",62.122,16.814
"221",67.978,19.037
"222",66.454,19.942
"223",63.811,21.124
"224",66.293,21.115
"225",64.532,21.454
"226",64.205,21.813
"227",65.414,21.926
"228",69.874,26.294
"229",63.658,29.339
"230",77.871,31.029
"231",64.343,31.67
"232",81.222,31.616
"233",81.76,32.16
"234",76.871,33.34
