"","POSITION_X","POSITION_Y"
"1",77.997,35.831
"2",81.76,36.16
"3",73.436,37.018
"4",74.406,37.42
"5",71.648,37.633
"6",67.597,39.098
"7",66.158,39.286
"8",75.92,39.314
"9",72.025,40.17
"10",80.365,41.107
"11",69.943,42.601
"12",76.461,43.335
"13",66.434,44.165
"14",76.326,45.53
"15",64.525,49.167
"16",72.614,49.269
"17",65.183,49.785
"18",74.21,49.931
"19",72.265,50.567
"20",67.618,50.94
"21",77.424,54.537
"22",63.514,55.077
"23",66.251,55.017
"24",64.948,55.428
"25",62.883,57.113
"26",75.818,57.325
"27",69.293,57.959
"28",76.463,58.11
"29",73.671,58.261
"30",63.434,58.38
"31",70.063,59.314
"32",75.66,59.959
"33",66.465,60.535
"34",66.238,69.012
"35",68.911,69.797
"36",71.62,71.189
"37",72.252,73.718
"38",64.819,74.448
"39",63.567,75.356
"40",67.41,77.499
"41",68.924,77.446
"42",74.08,81.76
"43",13.408,12.286
"44",9.087,18.229
"45",15.69,28.291
"46",20.041,29.466
"47",7.059,29.993
"48",19.666,63.875
"49",11.335,66.918
"50",14.237,21.269
"51",14.724,75.184
"52",10.813,81.327
"53",6.964,80.91
"54",39.197,0.665
"55",21.833,3.216
"56",24.553,18.296
"57",25.575,19.044
"58",39.76,22.936
"59",23.095,23.122
"60",24.479,30.008
"61",6.173,76.629
"62",22.219,30.462
"63",37.357,34.661
"64",32.596,36.993
"65",39.801,35.334
"66",31.973,38.883
"67",32.686,44.895
"68",24.588,42.315
"69",40.364,47.662
"70",27.744,49.14
"71",40.038,53.979
"72",39.022,59.667
"73",35.485,61.266
"74",25.285,67.831
"75",28.405,74.628
"76",26.834,76.875
"77",34.831,78.107
"78",27.931,79.63
"79",34.501,79.968
"80",41.763,1.064
"81",56.528,11.296
"82",0.844,27.084
"83",41.791,13.585
"84",60.263,16.24
"85",48.229,16.628
"86",41.139,17.358
"87",42.409,18.393
"88",60.523,20.229
"89",49.615,24.525
"90",60.017,26.921
"91",57.683,27.116
"92",58.483,28.872
"93",41.527,27.771
"94",53.975,29.235
"95",33.256,80.535
"96",46.892,32.606
"97",54.763,32.964
"98",47.968,33.72
"99",56.662,34.004
"100",44.659,34.702
"101",55.821,35.258
"102",51.99,34.876
"103",56.998,35.406
"104",45.788,35.668
"105",55.699,37.351
"106",48.156,37.196
"107",46.426,38.314
"108",54.752,38.222
"109",56.267,38.541
"110",56.291,43.093
"111",59.946,43.444
"112",42.245,43.804
"113",61.184,44.648
"114",46.6,48.537
"115",42.581,53.462
"116",41.251,54.54
"117",50.169,56.547
"118",51.681,56.134
"119",54.79,58.447
"120",43.901,58.842
"121",45.131,59.036
"122",57.146,59.224
"123",48.229,63.46
"124",45.908,63.817
"125",47.748,65.091
"126",60.903,66.101
"127",47.008,66.282
"128",43.696,66.496
"129",45.467,66.803
"130",41.725,68.43
"131",52.023,69.562
"132",57.064,70.881
"133",61.305,73.439
"134",60.64,81.76
"135",67.105,1.918
"136",75.111,2.311
"137",66.157,19.146
"138",66.772,20.258
"139",79.332,33.339
"140",62.853,35.095
