"","POSITION_X","POSITION_Y"
"1",40.093,32.36
"2",27.404,31.09
"3",33.955,35.892
"4",25.27,37.257
"5",39.574,61.25
"6",26.552,61.554
"7",49.948,4.876
"8",47.124,12.069
"9",46.444,12.389
"10",56.795,30.926
"11",43.051,32.584
"12",44.796,33.444
"13",57.231,39.286
"14",42.497,43.215
"15",52.252,44.242
"16",43.328,46.601
"17",48.843,52.833
"18",55.358,58.498
"19",42.931,64.735
"20",45.474,76.531
"21",43.919,68.063
"22",75.001,32.498
"23",78.059,34.139
"24",5.826,64.824
"25",74.836,39.328
"26",74.077,39.642
"27",72.332,43.477
"28",71.559,47.176
"29",75.091,51.938
"30",77.801,53.021
"31",66.312,43.923
"32",70.957,56.173
"33",78.171,80.406
"34",74.908,64.708
"35",9.324,49.912
"36",15.058,53.794
"37",15.283,67.095
"38",8.401,67.412
"39",8.16,81.76
"40",36.511,7.127
"41",14.834,65.645
"42",28.528,13.169
"43",16.8,81.76
"44",40.482,23.83
"45",39.518,24.785
