"","POSITION_X","POSITION_Y"
"1",37.97,66.654
"2",26.974,63.814
"3",22.899,68.966
"4",27.559,67.995
"5",28.839,70.51
"6",29.858,69.741
"7",29.67,72.937
"8",30.171,70.597
"9",21.322,75.159
"10",22.169,74.857
"11",45.279,25.222
"12",50.768,24.507
"13",45.494,27.785
"14",46.712,26.87
"15",48.631,31.342
"16",59.079,29.798
"17",44.198,32.532
"18",36.208,69.828
"19",49.341,41.626
"20",51.388,32.454
"21",54.194,41.812
"22",54.872,37.151
"23",47.119,43.406
"24",48.966,43.044
"25",51.441,48.46
"26",49.146,45.137
"27",47.222,54.067
"28",48.737,48.731
"29",50.396,58.994
"30",48.598,54.913
"31",49.736,62.93
"32",48.851,59.265
"33",43.253,63.283
"34",48.508,63.101
"35",41.904,49.472
"36",50.048,63.848
"37",60.154,67.245
"38",17.682,23.139
"39",51.743,68.148
"40",52.703,67.874
"41",57.566,75.384
"42",52.807,71.111
"43",48.749,77.403
"44",50.242,76.535
"45",46.795,80.046
"46",54.381,78.97
"47",60.8,81.76
"48",56.8,81.76
"49",75.246,0.731
"50",72.046,0.311
"51",81.76,3.04
"52",81.76,0.8
"53",70.427,31.433
"54",81.76,24.48
"55",69.197,32.041
"56",71.28,31.646
"57",72.549,50.018
"58",69.547,46.574
"59",67.204,55.07
"60",66.02,54.736
"61",64.294,61.928
"62",63.842,60.583
"63",62.168,65.224
"64",63.882,63.323
"65",66.633,68.863
"66",66.701,68
"67",67.52,81.76
"68",66.88,81.76
"69",71.68,81.76
"70",69.28,81.76
"71",75.2,81.76
"72",4.949,18.375
"73",0.825,17.741
"74",19.513,35.856
"75",18.366,25.72
"76",18.547,46
"77",18.727,40.33
"78",16.575,47.803
"79",19.008,38.022
"80",4.865,54.735
"81",4.96,51.548
"82",14.455,62.371
"83",17.752,60.757
"84",20.118,74.836
"85",17.433,63.578
"86",7.263,75.382
"87",6.839,24.833
"88",10.485,76.658
"89",9.923,76.062
"90",15.072,80.214
"91",10.256,76.952
"92",20.99,21.04
"93",36.919,16.259
"94",34.859,27.005
"95",22.443,24.134
"96",27.384,31.49
"97",29.135,29.605
"98",34.099,33.117
"99",38.032,31.759
"100",37.712,36.854
"101",30.743,34.142
"102",38.225,41.101
"103",31.109,37.826
"104",20.749,46.672
"105",33.472,45.933
"106",25.269,51.715
"107",40.276,47.783
"108",34.268,52.729
"109",36.104,51.994
"110",38.565,57.43
"111",32.974,55.632
"112",30.233,61.526
"113",23.79,61.3
