"","POSITION_X","POSITION_Y"
"1",28.72,39.646
"2",39.55,49.924
"3",20.796,58.042
"4",48.64,0
"5",36.996,60.274
"6",39.346,60.146
"7",60.8,0
"8",52.965,12.69
"9",39.116,24.254
"10",57.019,24.61
"11",44.372,25.02
"12",42.495,25.157
"13",45.183,26.137
"14",58.622,26.971
"15",58.598,16.291
"16",51.03,31.351
"17",53.868,33.59
"18",58.427,36.331
"19",43.296,44.542
"20",47.748,52.663
"21",56.949,74.528
"22",52.285,75.394
"23",51.507,76.331
"24",53.77,76.321
"25",51.836,77.552
"26",61.057,79.051
"27",52.595,30.782
"28",51.237,80.089
"29",54.017,80.779
"30",52.429,80.841
"31",42.345,80.992
"32",44.19,80.933
"33",51.289,80.752
"34",46.27,80.922
"35",47.699,80.988
"36",56.428,80.916
"37",55.52,80.8
"38",77.619,1.167
"39",79.677,2.245
"40",68.273,4.54
"41",63.612,4.903
"42",63.201,13.677
"43",67.137,16.762
"44",69.88,19.046
"45",71.133,21.125
"46",55.206,12.114
"47",81.76,29.44
"48",80.994,24.847
"49",64.117,25.412
"50",81.76,30.24
"51",61.651,31.668
"52",67.153,33.557
"53",67.62,36.429
"54",81.76,58.4
"55",79.297,49.871
"56",72.962,39.602
"57",72.377,52.122
"58",78.188,60.225
"59",71.747,73.626
"60",64.418,74.497
"61",62.669,74.073
"62",61.88,76.79
"63",65.565,78.906
"64",63.375,80.12
"65",65.425,80.217
"66",67.565,80.799
"67",66.254,80.7
"68",0.908,29.452
"69",16.531,43.081
"70",38.351,21.701
"71",8.41,54.896
"72",12.241,48.614
"73",39.961,25.253
"74",40.69,25.198
