img_index,x,y
0.0,390.8254392147064,13.71327531337738
0.0,413.2149922847748,25.85297203063965
0.0,318.62258291244507,46.33587074279785
0.0,510.56575632095337,48.65614986419678
0.0,266.42035031318665,55.22751975059509
0.0,317.45291340351105,54.32492661476135
0.0,373.28379225730896,53.138365626335144
0.0,282.81329345703125,57.279035687446594
0.0,506.00519704818726,56.5616956949234
0.0,278.89295721054077,61.18962526321411
0.0,346.48490691185,62.16033124923706
0.0,502.25063943862915,61.71437633037567
0.0,290.19538927078247,67.04315853118896
0.0,314.2034046649933,65.90192461013794
0.0,273.4826971292496,70.11737823486328
0.0,321.9466768503189,74.01662755012512
0.0,393.2933461666107,74.78902745246887
0.0,506.7056460380554,78.34509563446045
0.0,277.5491975545883,80.36177608370781
0.0,470.0927619934082,85.75036120414734
0.0,130.09271812438965,94.0528450012207
0.0,277.12064230442047,93.21129393577576
0.0,310.30078411102295,94.76246309280396
0.0,131.47972750663757,98.36110949516296
0.0,311.1436519622803,98.5443844795227
0.0,454.73814129829407,97.17332911491394
0.0,154.3698925971985,102.48219323158264
0.0,160.5012360215187,109.95480000972748
0.0,185.69996654987335,110.6030957698822
0.0,193.37996017932892,110.06524538993835
0.0,151.20471215248108,115.31445789337158
0.0,184.99565398693085,114.88885498046875
0.0,228.4991503059864,114.68913388252258
0.0,154.4805145263672,118.31371235847473
0.0,232.72367984056473,118.3290159702301
0.0,326.50122904777527,122.81387758255005
0.0,111.34137606620789,125.96317231655121
0.0,430.1967658996582,125.79473781585693
0.0,422.16899847984314,130.2394154071808
0.0,465.3296459913254,131.08137965202332
0.0,472.4508408308029,130.18006300926208
0.0,115.55344772338867,136.60569858551025
0.0,107.29330134391785,142.69812989234924
0.0,193.20830404758453,142.60751461982727
0.0,213.16101241111755,142.58885526657104
0.0,429.9363024234772,142.65515685081482
0.0,370.62864422798157,146.88493418693542
0.0,420.2172202914953,145.34498918056488
0.0,200.88496273756027,150.18801546096802
0.0,108.88731116056442,154.33040165901184
0.0,262.23478841781616,155.09304904937744
0.0,299.1490783691406,153.3883957862854
0.0,84.895701110363,156.95906788110733
0.0,107.16571736335754,159.29944038391113
0.0,217.14109182357788,162.05451941490173
0.0,221.2192780971527,160.47789165377617
0.0,330.0564613342285,162.1322419643402
0.0,372.3042054772377,162.50282430648804
0.0,121.15530443191528,164.58678090572357
0.0,222.1962628364563,165.80411446094513
0.0,475.2379789352417,166.29757690429688
0.0,98.5738136768341,169.3490594625473
0.0,329.49205780029297,178.1868381500244
0.0,442.5390582084656,194.60686349868774
0.0,446.4064257144928,193.54005336761475
0.0,388.57579731941223,198.59659457206726
0.0,253.96908748149872,203.05594635009766
0.0,297.1950705051422,200.8652841448784
0.0,302.90038990974426,201.56751120090485
0.0,340.82522064447403,202.35831999778748
0.0,288.11704575270414,204.59407556056976
0.0,303.0292806625366,207.19203805923462
0.0,382.52063393592834,204.26205256581306
0.0,425.1453603506088,207.40556979179382
0.0,118.26400375366211,210.1148054599762
0.0,122.15204310417175,213.497584939003
0.0,169.7254455089569,213.3975052833557
0.0,508.2787002325058,213.55479228496552
0.0,267.35441613197327,217.8655343055725
0.0,294.4935474395752,218.38369131088257
0.0,353.66932916641235,221.74265027046204
0.0,362.8091633319855,220.39189419150352
0.0,157.39017760753632,227.45585203170776
0.0,185.11453139781952,227.49257063865662
0.0,226.1334068775177,226.6847529411316
0.0,277.97951579093933,226.5876064300537
0.0,292.26786410808563,225.88001370429993
0.0,438.0192174911499,224.3043865263462
0.0,210.4332311153412,230.04571080207825
0.0,502.6697325706482,230.31302571296692
0.0,203.4034378528595,233.69304430484772
0.0,257.85080111026764,239.4108018875122
0.0,252.42347705364227,241.3613978624344
0.0,168.46524235606194,249.5571973323822
0.0,204.88436096906662,254.1450936794281
0.0,184.817436337471,265.67625856399536
0.0,189.22099113464355,264.5511754155159
0.0,277.3552931547165,265.5399740934372
0.0,453.73658072948456,282.8191888332367
0.0,469.4680324792862,283.3840069770813
0.0,122.19692969322205,285.76890885829926
0.0,153.19710838794708,294.8261818885803
0.0,156.85706681013107,292.9911980032921
0.0,441.7502944469452,293.80661487579346
0.0,432.97687870264053,306.0510869026184
0.0,163.3111584186554,313.37714326381683
0.0,465.39697313308716,315.24789118766785
0.0,125.193528175354,318.31279587745667
0.0,155.37931632995605,318.9102973937988
0.0,205.7062782049179,322.0281345844269
0.0,435.28129291534424,324.23566979169846
0.0,437.1570259332657,327.15206027030945
0.0,350.5039918422699,331.19268250465393
0.0,470.2230734825134,330.2159581184387
0.0,270.3345160484314,334.6829628944397
0.0,196.48571747541428,336.94572722911835
0.0,269.3061294555664,337.71953082084656
0.0,362.04674911499023,337.70643305778503
0.0,466.4379904270172,338.29442501068115
0.0,265.8794311285019,341.82420015335083
0.0,282.20578622817993,341.6892479658127
0.0,117.95980083942413,346.13157892227173
0.0,149.57850337028503,346.95165371894836
0.0,152.96861499547958,346.9256386756897
0.0,165.71766412258148,351.12699460983276
0.0,270.83193850517273,350.4762313365936
0.0,445.4204115867615,348.6966914534569
0.0,162.70290780067444,354.0326313972473
0.0,219.48510575294495,354.39581990242004
0.0,295.3455476760864,354.85955286026
0.0,333.94909620285034,357.75478982925415
0.0,22.295310258865356,363.3159770965576
0.0,294.25244975090027,365.7658108472824
0.0,183.34279775619507,369.57648479938507
0.0,37.46335697174072,373.69497513771057
0.0,321.712952375412,375.081533908844
0.0,41.0571494102478,377.7097166776657
0.0,134.63402485847473,382.3624746799469
0.0,316.99576437473297,382.8155348300934
0.0,200.30768451094627,386.9483234882355
0.0,102.90344572067261,393.45387947559357
0.0,270.13772201538086,394.4541344642639
0.0,190.567200422287,397.6314424276352
0.0,261.37511134147644,398.1858460903168
0.0,362.64443159103394,406.0398762226105
0.0,108.04735224694014,409.2961440086365
0.0,147.0370421409607,409.31669306755066
0.0,148.98628968000412,409.846626162529
0.0,369.4306548833847,412.66537576913834
0.0,43.1307590007782,422.62312746047974
0.0,45.59522724151611,423.1709690093994
0.0,289.34289169311523,423.19390177726746
0.0,357.5332900285721,426.9850573539734
0.0,214.21665239334106,429.6710240840912
0.0,234.33496141433716,429.61712419986725
0.0,354.07323479652405,434.1220178604126
0.0,198.63869214057922,438.10299253463745
0.0,254.86514234542847,449.4100841283798
0.0,77.35215032100677,454.8257751464844
0.0,214.9066343307495,453.85667884349823
0.0,140.1929108351469,457.3904781341553
0.0,301.4450192451477,458.63899302482605
0.0,294.08520674705505,464.3482469022274
0.0,61.86994481086731,474.3090660572052
0.0,378.85598826408386,474.3637399673462
0.0,386.3781156539917,474.6919205188751
0.0,217.8506898880005,477.9327744245529
0.0,322.50828790664673,476.3243180811405
0.0,382.91988253593445,477.2248533964157
0.0,70.38630938529968,481.596137881279
0.0,209.7171152830124,481.5372016429901
0.0,72.15964256227016,486.9016718864441
