,f1_score,err_coordinate,weighted_average
count,100.0,100.0,100.0
mean,0.5134551581590382,0.7739027423550513,0.6302237920980066
std,0.1058229422575723,0.09119166108429043,0.07539449592955301
min,0.1923076923076923,0.6114536840215754,0.4830541344905162
25%,0.4491476172026347,0.7140337723958455,0.5730194141913929
50%,0.5126777983920842,0.7637232803765546,0.624080210374273
75%,0.5792272243885147,0.8169737383001632,0.6730052951668206
max,0.717391304347826,1.2459579514900085,0.8729789757450043
